"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_formicicum","Methanobacterium formicicum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp_MB1","Methanobacterium sp. MB1",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_arboriphilus","Methanobrevibacter arboriphilus",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis","Methanobrevibacter oralis",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii","Methanobrevibacter smithii",61,46,-3.63011090586112,-1.9156461822118,-5,-1.5091665640208,1.71446472364932,0.000216953442050728,0.0125399089505321,"enriched_in_crc"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_woesei","Methanobrevibacter woesei",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi","Methanosphaera cuniculi",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp_SHI1033","Methanosphaera sp. SHI1033",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae","Methanosphaera stadtmanae",61,46,-4.61859001870285,-4.71739812226913,-5,-5,-0.0988081035662747,0.582979225814599,0.749810517308886,"depleted_in_crc"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis","Candidatus Methanomassiliicoccus intestinalis",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon_RumEn_M1","Methanomassiliicoccales archaeon RumEn M1",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense","Actinobaculum massiliense",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183","Actinobaculum sp. oral taxon 183",61,46,-4.7143153132286,-4.7285538585973,-5,-5,-0.0142385453687011,0.922224955927814,0.950926983233713,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis","Schaalia cardiffensis",61,46,-5,-4.84713017880577,-5,-5,0.152869821194234,0.10463176917841,0.357568447763951,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus","Gleimia europaea",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae","Schaalia georgiae",61,46,-4.93779299271042,-5,-5,-5,-0.0622070072895822,0.222292708513491,0.487696419978105,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii","Actinomyces graevenitzii",61,46,-4.12834845557821,-4.12991648134197,-5,-5,-0.00156802576376691,0.948376463448503,0.963377145647161,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hongkongensis","Pauljensenia hongkongensis",61,46,-4.91716996081848,-4.94562914647353,-5,-5,-0.028459185655044,0.741349956934042,0.863911844975557,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii","Actinomyces johnsonii",61,46,-4.84210235879865,-4.85229013206026,-5,-5,-0.0101877732616105,1,1,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis","Actinomyces massiliensis",61,46,-4.96186334654215,-4.92268907607028,-5,-5,0.0391742704718752,0.421881661901137,0.59186310820111,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_meyeri","Schaalia meyeri",61,46,-4.9672131147541,-5,-5,-5,-0.0327868852459012,0.395597366997888,0.577855062293658,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii","Actinomyces naeslundii",61,46,-4.07833829454968,-4.7910002892152,-5,-5,-0.712661994665519,0.00252548634274424,0.0506329655912537,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus","Schaalia odontolytica",61,46,-2.76532856437158,-3.01040216661442,-2.05354773498693,-2.44928457078004,-0.245073602242843,0.0713358519051561,0.334186135597798,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris","Actinomyces oris",61,46,-3.63939642499682,-4.13837609986698,-5,-5,-0.498979674870157,0.0782374088496394,0.334186135597798,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_radicidentis","Actinomyces radicidentis",61,46,-4.93518268363566,-5,-5,-5,-0.0648173163643442,0.395597366997888,0.577855062293658,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02","Actinomyces sp. HMSC035G02",61,46,-3.57729097656948,-4.17194101880327,-3.01322826573376,-5,-0.594650042233789,0.0243257563472328,0.177978318591146,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247","Actinomyces sp. HPA0247",61,46,-3.94051839497666,-4.07901137977569,-5,-5,-0.138492984799027,0.617109209733237,0.780501363732628,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47","Actinomyces sp. ICM47",61,46,-2.79248704091957,-3.26969537910323,-1.87876854485038,-2.66201006690553,-0.477208338183658,0.0169596153405666,0.153945328737641,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3","Actinomyces sp. S6-Spd3",61,46,-4.11812240697514,-4.43339673850468,-5,-5,-0.315274331529536,0.156970355943744,0.458226594623657,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170","Actinomyces sp. oral taxon 170",61,46,-5,-4.96493948137566,-5,-5,0.0350605186243422,0.257348456908861,0.487696419978105,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180","Actinomyces sp. oral taxon 180",61,46,-4.86325398631116,-4.79971136879629,-5,-5,0.0635426175148703,0.634028625286178,0.791508737398296,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181","Actinomyces sp. oral taxon 181",61,46,-3.93840861735996,-3.93862701471896,-5,-5,-0.000218397359001976,0.906772692270646,0.944350659698078,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414","Actinomyces sp. oral taxon 414",61,46,-4.73203818870807,-4.81590077340469,-5,-5,-0.0838625846966137,0.443455627787714,0.61027941157452,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448","Actinomyces sp. oral taxon 448",61,46,-4.47805105917686,-4.8208198586708,-5,-5,-0.342768799493943,0.0810004372392896,0.336821962045391,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897","Actinomyces sp. oral taxon 897",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis","Schaalia turicensis",61,46,-4.95472249445212,-4.76612312912173,-5,-5,0.188599365330389,0.0901039845261081,0.357568447763951,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus","Actinomyces viscosus",61,46,-4.86578556194628,-4.93350422855052,-5,-5,-0.0677186666042484,0.484644883365599,0.645804689367798,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_timonense","Actinotignum timonense",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella_bernardiae","Trueperella bernardiae",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense","Varibaculum cambriense",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila","Aeriscardovia aeriphila",61,46,-3.70311037402253,-4.18833654278873,-5,-5,-0.485226168766204,0.104105229771544,0.357568447763951,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens","Alloscardovia omnicolens",61,46,-4.50347142370548,-4.56942903954368,-5,-5,-0.0659576158382036,0.659049989106559,0.815697845189703,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis","Bifidobacterium adolescentis",61,46,-0.941489066042292,-0.701390902630538,0.059798108251158,-0.490187756292558,0.240098163411754,0.852569488881907,0.910418604795395,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum","Bifidobacterium angulatum",61,46,-5,-4.65548511550618,-5,-5,0.344514884493823,0.0200018235014676,0.155166692577317,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis","Bifidobacterium animalis",61,46,-3.47497717929882,-4.58680756371638,-5,-5,-1.11183038441756,0.00282041363366494,0.0516526809101569,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum","Bifidobacterium bifidum",61,46,-3.23170339602096,-3.74159023493375,-5,-5,-0.509886838912786,0.204496963451927,0.487696419978105,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve","Bifidobacterium breve",61,46,-4.52532869727381,-4.7048845618666,-5,-5,-0.179555864592787,0.611872828285774,0.77728020823995,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum","Bifidobacterium catenulatum",61,46,-3.57551083669072,-4.16004091041273,-5,-5,-0.584530073722006,0.229409257340307,0.487696419978105,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium","Bifidobacterium dentium",61,46,-3.58289302032851,-3.88868074681889,-5,-5,-0.305787726490383,0.367097187705249,0.577855062293658,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum","Bifidobacterium pullorum",61,46,-4.93451218123627,-4.84032094652072,-5,-5,0.0941912347155487,0.202929390403277,0.487696419978105,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_kashiwanohense","Bifidobacterium catenulatum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum","Bifidobacterium longum",61,46,-0.43789960877043,-0.183594388041142,0.42010599169197,0.0974003385702249,0.254305220729288,0.294663921592937,0.53558410905886,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_merycicum","Bifidobacterium merycicum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_mongoliense","Bifidobacterium mongoliense",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_moukalabense","Bifidobacterium moukalabense",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum","Bifidobacterium pseudocatenulatum",61,46,-3.57685040166821,-3.317053929942,-5,-5,0.259796471726213,0.339766901350834,0.577855062293658,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum","Bifidobacterium pseudolongum",61,46,-4.87231932433091,-4.93380583595328,-5,-5,-0.0614865116223733,0.741349956934042,0.863911844975557,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum","Bifidobacterium pullorum",61,46,-4.88937412950555,-4.66999044909035,-5,-5,0.219383680415191,0.119655374693787,0.39176346027596,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_ruminantium","Bifidobacterium ruminantium",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_saeculare","Bifidobacterium pullorum",61,46,-4.8878104239982,-4.80056932471922,-5,-5,0.0872410992789723,0.438755353705591,0.608154902738206,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_scardovii","Bifidobacterium scardovii",61,46,-5,-4.9333326402082,-5,-5,0.0666673597918042,0.257348456908861,0.487696419978105,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermacidophilum","Bifidobacterium thermacidophilum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis","Gardnerella vaginalis",61,46,-5,-4.95129240764603,-5,-5,0.0487075923539697,0.257348456908861,0.487696419978105,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens","Parascardovia denticolens",61,46,-4.70819629509519,-4.6741486706841,-5,-5,0.0340476244110928,1,1,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_inopinata","Scardovia inopinata",61,46,-4.85005386738308,-5,-5,-5,-0.149946132616916,0.0797883853157373,0.334186135597798,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae","Scardovia wiggsiae",61,46,-4.46673658666166,-4.62215719350105,-5,-5,-0.155420606839387,0.392721476459768,0.577855062293658,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens","Corynebacterium accolens",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum","Corynebacterium amycolatum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense","Corynebacterium argentoratense",61,46,-4.95168945457872,-5,-5,-5,-0.048310545421276,0.395597366997888,0.577855062293658,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum","Corynebacterium aurimucosum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei","Corynebacterium casei",61,46,-4.82163287921209,-5,-5,-5,-0.178367120787908,0.0797883853157373,0.334186135597798,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum","Corynebacterium durum",61,46,-4.68294812006422,-4.93761264765262,-5,-5,-0.254664527588401,0.0469229024165745,0.255862618837548,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_flavescens","Corynebacterium flavescens",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_jeikeium","Corynebacterium jeikeium",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii","Corynebacterium kroppenstedtii",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii","Corynebacterium matruchotii",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudodiphtheriticum","Corynebacterium pseudodiphtheriticum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pyruviciproducens","Corynebacterium pyruviciproducens",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_simulans","Corynebacterium simulans",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_striatum","Corynebacterium striatum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_urealyticum","Corynebacterium urealyticum",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_variabile","Corynebacterium variabile",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales_unclassified|g__Lawsonella|s__Lawsonella_clevelandensis","Lawsonella clevelandensis",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_erythropolis","Rhodococcus erythropolis",61,46,-4.95378876369518,-4.94297284151309,-5,-5,0.0108159221820916,0.861589925299449,0.910418604795395,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_qingshengii","Rhodococcus qingshengii",61,46,-4.92131212250154,-5,-5,-5,-0.0786878774984592,0.222292708513491,0.487696419978105,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_aurantiacum","Brevibacterium aurantiacum",61,46,-5,-4.93835455279364,-5,-5,0.0616454472063568,0.257348456908861,0.487696419978105,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens","Brevibacterium linens",61,46,-5,-4.93973213681037,-5,-5,0.0602678631896287,0.257348456908861,0.487696419978105,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_komagatae","Leucobacter komagatae",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_sp_7_1","Leucobacter sp. 7(1)",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_kristinae","Rothia kristinae",61,46,-5,-5,-5,-5,0,NA,NA,"no_difference"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria","Rothia aeria",61,46,-4.94705020187036,-5,-5,-5,-0.0529497981296378,0.395597366997888,0.577855062293658,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa","Rothia dentocariosa",61,46,-4.06067825274388,-4.66038398594915,-5,-5,-0.599705733205268,0.00988342355095208,0.10778526061227,"depleted_in_crc"
